"Номера узлов",,"Имя узла начала","Имя узла конца","Обозначение","В Н","Вид","B К","Uном(н) кВ","Pв(н) кВт","Qв(н) квар","Pв(к) кВт","Qв(к) квар","dP кВт","dQ квар","dP %","Pп кВт","Qп квар","Iв(н) А","Iв(к) А","Iдоп А","Кз","Период №","Состояние"
"99-213",,"2 СШ","213","Ф-14","Вкл.","Линия","Вкл.","6,3","0,000251","-1,76","0,000193","-0,669","0","0","0","0","-1,09","0,153","0,0583","10000","0","0","Сущ"
"99-224",,"2 СШ","К-39","Ф-13","Вкл.","Линия","Вкл.","6,3","7,34","35,1","7,28","36,4","0,067","0,0861","0","0","-1,38","3,12","3,24","10000","0,000312","0","Сущ"
"99-617",,"2 СШ","617","Ф-19","Вкл.","Линия","Вкл.","6,3","15,29","268","9,78","263","5,51","7,07","36","0","-2,03","23,4","23,6","10000","0,00234","0","Сущ"
"99-238",,"2 СШ","238","Ф-18","Вкл.","Линия","Вкл.","6,3","1458","1079","1410","1017","48","61,6","3,29","0","-0,386","158","158","10000","0,0158","0","Сущ"
"99-266",,"2 СШ","266","Ф-21","Вкл.","Линия","Вкл.","6,3","932","604","869","524","63,4","81,4","6,8","0","-1,3","96,8","96,9","10000","0,00968","0","Сущ"
"99",,"2 СШ",,,"Откл.","Шунт",,"6,3",,,,,,,,,,,,,,"0","Сущ"
"99",,"2 СШ",,,"Откл.","Шунт",,"6,3",,,,,,,,,,,,,,"0","Сущ"
"99",,"2 СШ",,,"Откл.","Шунт",,"6,3",,,,,,,,,,,,,,"0","Сущ"
"99",,"2 СШ",,,"Откл.","Шунт",,"6,3",,,,,,,,,,,,,,"0","Сущ"
"99",,"2 СШ",,,"Откл.","Шунт",,"6,3",,,,,,,,,,,,,,"0","Сущ"
"100-104",,"ПС 35 кВ Рынковой","1 СШ 6 кВ Рынковой",,"Вкл.","Трансформатор","Вкл.","35","1363","989","1347","889","1,71","19,68","0,126","14,56","80,3","26,4","149","157","0,168","0","Сущ"
