IDOBJECT,NAME_OBJECT,IDTYPE_OBJECT,UUID,GMT_SHIFT,CONTROL_POWER,INZONE_ONLY,CONTROL_HOLES,CONTROL_HOUR,TARIF,IDCTG,DAYLIGHT,IDTGROUP,IDMAXPOWER,SHORT_NAME
479,ПС35/6кВ Куст-15,2,{458C4CA9-652D-4A37-8EC6-765A5921902C},5.0,0,,,,,,False,,,
481,ПС35/6кВ Куст-224,2,{3DD5DA49-D990-4F37-9170-B87A3E5271EC},5.0,0,,,,,,False,,,
484,ПС35/6кВ ЦПС-1,2,{E22EC945-F7F6-4752-85AF-FC97FB0304DE},5.0,0,,,,,,False,,,
486,ПС35/6кВ ЦПС-2,2,{FA76725C-0546-45C3-842B-43BF55E3FAC9},5.0,0,,,,,,False,,,
489,ПС35/6кВ Южная,2,{E71CAB70-BD7F-4056-A343-F22CD966F166},5.0,0,,,,,,False,,,
492,ПС35/6кВ Юкишевская,2,{20FD173E-C1C3-41AB-A9A3-8EF60FDB53B1},5.0,0,,,,,,False,,,
494,РУ6кВ №2,2,{18812896-6267-4D87-87D3-788FC38B5DD7},5.0,0,,,,,,False,,,
495,РУ6кВ №3,2,{E8046E36-2BC8-441A-B702-3D7DF9CDE87F},5.0,0,,,,,,False,,,
496,РУ6кВ №3 Новое ЦППН-1,2,{98646724-679A-407F-B8C1-5B9A498BAB4F},,0,False,,,,,True,,,
497,РУ6кВ №4,2,{9A37FB76-89E4-40D5-9236-82C70EDE7D5D},5.0,0,,,,,,False,,,
498,РУ6кВ БКНС Сев.Орех.,2,{23EF2BE0-A9AF-4D1D-B939-A8E351606E9D},5.0,0,,,,,,False,,,
499,РУ6кВ ДНС-1 Сев.Орех.,2,{D1720A65-AC19-4F32-B764-3200C97C6D0F},5.0,0,False,,,,,False,,,
500,РУ6кВ КНС-1 Сев.Орех.,2,{F1AF0AE6-4A0E-422C-926F-E11B9D0F28E8},5.0,0,,,,,,False,,,
501,СР №10 (Тайлаковское-1 м/р),1,{E970293A-522C-45A8-955D-5248A32AA2BF},,0,False,,,,,True,,,
